Title,Description,URL,Tag
Neural Networks and Deep Learning,"Neural Networks and Deep Learning Course by DeepLearning.AI, 4.9 stars, by 123K reviews, provide skills Deep Learning, Artificial Neural Networks, Tensorflow etc... Intermediate level, 1 - 4 Weeks",https://www.coursera.org/learn/neural-networks-deep-learning,Coursera
Data Analyst,Not Available,https://www.udacity.com/course/data-analyst-nanodegree--nd002,Udacity
AI for Education (Intermediate),"AI for Education (Intermediate) free Course by Kennesaw State University, 4.5 stars, by 6 reviews, provide skills Generative AI, Data Ethics, ChatGPT etc... Intermediate level, 1 - 4 Weeks",https://www.coursera.org/learn/ai-for-education-intermediate,Coursera
AI Programming with Python,Not Available,https://www.udacity.com/course/ai-programming-python-nanodegree--nd089,Udacity
Building AI Cloud Apps with Microsoft Azure,"Building AI Cloud Apps with Microsoft Azure new Specialization by Microsoft, 4.4 stars, by 390 reviews, provide skills Cloud Development, Image Analysis, Anomaly Detection etc... Intermediate level, 3 - 6 Months",https://www.coursera.org/specializations/building-ai-cloud-apps-microsoft-azure,Coursera
General AI Mastery Toolbox: Master AI and Drive Success,"General AI Mastery Toolbox: Master AI and Drive Success free Course by Coursera Instructor Network, 4.5 stars, by 13 reviews, provide skills Artificial Intelligence, Artificial Intelligence and Machine Learning (AI/ML), Generative AI etc... Beginner level, 1 - 4 Weeks",https://www.coursera.org/learn/general-ai-mastery-toolbox-master-ai-and-drive-success,Coursera
AI Workflow: Business Priorities and Data Ingestion,"AI Workflow: Business Priorities and Data Ingestion Course by IBM, 4.3 stars, by 162 reviews, provide skills Design Thinking, Data Science, Artificial Intelligence etc... Intermediate level, 1 - 4 Weeks",https://www.coursera.org/learn/ibm-ai-workflow-business-priorities-data-ingestion,Coursera
AI Engineering,"AI Engineering Specialization by Scrimba, 4.6 stars, by 130 reviews, provide skills Image Analysis, OpenAI, Cloud Applications etc... Intermediate level, 1 - 3 Months",https://www.coursera.org/specializations/ai-engineering,Coursera
ChatGPT: Master Free AI Tools to Supercharge Productivity,"ChatGPT: Master Free AI Tools to Supercharge Productivity Specialization by Vanderbilt University, 4.8 stars, by 5.4K reviews, provide skills ChatGPT, Generative AI, OpenAI etc... Beginner level, 3 - 6 Months",https://www.coursera.org/specializations/chatgpt-free-ai-tools-to-excel,Coursera
Interactive and Immersive Experiences with Generative AI,"Interactive and Immersive Experiences with Generative AI new free Course by Coursera Instructor Network, 5.0 stars, provide skills Generative AI, Virtual Environment, Augmented and Virtual Reality (AR/VR) etc... Intermediate level, 1 - 4 Weeks",https://www.coursera.org/learn/interactive-and-immersive-experiences-with-generative-ai,Coursera
AI Engineering,"AI Engineering Specialization by Scrimba, 4.6 stars, by 130 reviews, provide skills Image Analysis, OpenAI, Cloud Applications etc... Intermediate level, 1 - 3 Months",https://www.coursera.org/specializations/ai-engineering,Coursera
Generative AI in Education,"Generative AI in Education Course by University of Glasgow, 4.5 stars, by 66 reviews, provide skills Generative AI, OpenAI, ChatGPT etc... Beginner level, 1 - 4 Weeks",https://www.coursera.org/learn/generative-ai-in-education,Coursera
IBM AI Enterprise Workflow,"IBM AI Enterprise Workflow Specialization by IBM, 4.3 stars, by 311 reviews, provide skills Feature Engineering, Data Ethics, Exploratory Data Analysis etc... Advanced level, 3 - 6 Months",https://www.coursera.org/specializations/ibm-ai-workflow,Coursera
Data Scientist,Not Available,https://www.udacity.com/course/data-scientist-nanodegree--nd025,Udacity
Cloud DevOps Engineer,Not Available,https://www.udacity.com/course/cloud-dev-ops-nanodegree--nd9991,Udacity
Convolutional Neural Networks,"Convolutional Neural Networks Course by DeepLearning.AI, 4.9 stars, by 42K reviews, provide skills Computer Vision, Image Analysis, Deep Learning etc... Intermediate level, 1 - 4 Weeks",https://www.coursera.org/learn/convolutional-neural-networks,Coursera
Front End Web Developer,Not Available,https://www.udacity.com/course/front-end-web-developer-nanodegree--nd0011,Udacity
AI for Trading,Not Available,https://www.udacity.com/course/ai-for-trading--nd880,Udacity
Business Analytics,Not Available,https://www.udacity.com/course/business-analytics-nanodegree--nd098,Udacity
Agentic AI and AI Agents for Leaders,"Agentic AI and AI Agents for Leaders new Specialization by Vanderbilt University, 4.8 stars, by 5.3K reviews, provide skills ChatGPT, Generative AI, Artificial Intelligence etc... Beginner level, 1 - 3 Months",https://www.coursera.org/specializations/ai-agents-for-leaders,Coursera
Digital Marketing,Not Available,https://www.udacity.com/course/digital-marketing-nanodegree--nd018,Udacity
